Date,AI,Energy,Biotech,Space,VOO
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,0.3130224530456046,0.24014710556982327,0.2058958511879656,0.02702373173581518,0.11728554363699858
2020-02-18,0.3050576004460575,0.23882355766031996,0.20260904992776615,0.026660683070618148,0.11509164764244056
2020-02-19,0.3225577535477077,0.2359013486210596,0.20251840567754098,0.026660683070618148,0.11531609354303574
2020-02-20,0.3192420617777414,0.23750830551082128,0.20249523420717322,0.025484136332576634,0.11574017282112174
2020-02-21,0.36299858404761587,0.2343416047851718,0.2034485321213134,0.025484136332576634,0.12010948609966177
2020-02-24,0.4137596303633438,0.24336952133387152,0.21167478250157246,0.025484136332576634,0.15469344546687092
2020-02-25,0.4365280150299591,0.24902970156183057,0.22342980145516136,0.02484243201408568,0.1769327471034723
2020-02-26,0.4284834150450312,0.24921423035154752,0.2553017194476828,0.024893832118757935,0.17553116646596356
2020-02-27,0.4579664523284316,0.2511669799577123,0.26178967644596024,0.02422306907645967,0.21468980212676972
2020-02-28,0.4978314352013189,0.3118548555829939,0.26143612063393873,0.02422306907645967,0.21424521252355364
2020-03-02,0.5028343238619855,0.30967146728056816,0.27473441829017575,0.024083792902096033,0.2536769420986446
2020-03-03,0.5081159289473349,0.3100294074901534,0.28416460230774354,0.024083792902096033,0.26348192269017795
2020-03-04,0.547861724375494,0.30721757557854873,0.3233625029067046,0.022443691943340286,0.29355832153282857
2020-03-05,0.5557041636659483,0.3144013174240785,0.3253620314073014,0.021793944258040657,0.30752920589279675
2020-03-06,0.5671716030609658,0.3186578133097848,0.3254300876882716,0.021652383140636507,0.3098930157745417
2020-03-09,0.6508888855203633,0.569632274337731,0.36252541453232157,0.022611110823951102,0.3763207732673462
2020-03-10,0.6616711321321929,0.593929028713475,0.4156409384717865,0.025253549036765154,0.40950177927139797
2020-03-11,0.7122779255608102,0.5955605870231885,0.4269491642104634,0.019738407972810717,0.42815286987577267
2020-03-12,0.75289379465104,0.6420228310016228,0.5000660365204935,0.037359862824858814,0.5027788354464806
2020-03-13,0.8738088980631677,0.6480820904765641,0.5625031056743643,0.03747456442924543,0.5829521270215602
2020-03-16,0.95454002751865,0.6519630315044849,0.6374293419428363,0.06832518241836015,0.6664049704398533
2020-03-17,1.0585751641608159,0.6532449524783146,0.6639234912078482,0.0680872614376879,0.6992874832531728
2020-03-18,1.072941518702572,0.7532449955074814,0.6624323268391799,0.070983419632239,0.7091458011459169
2020-03-19,1.081588815080511,0.8042343486936259,0.6512116926866367,0.07083913946437087,0.7071395732099849
2020-03-20,1.0816219622728178,0.8426516286363368,0.6609511781959155,0.07083913946437087,0.7126363819918348
2020-03-23,1.086468801813991,0.8657969371625414,0.6610006705030637,0.07083913946437087,0.7145575898309431
2020-03-24,1.1312862385480849,0.9278840858190187,0.6741324807379631,0.08163679884663715,0.7781754087061551
2020-03-25,1.1257699866579227,0.9211865443548519,0.6752183179443951,0.08457054001068819,0.7801836195112674
2020-03-26,1.1327359806892419,0.9288652364129624,0.6975941276754729,0.08584631262342934,0.8044501758478529
2020-03-27,1.1354885098027794,0.9298895068268603,0.6975548601322653,0.08886050726407116,0.8071076701082293
2020-03-30,1.1384547245534595,0.9335666409965843,0.712140361012356,0.08887761215005954,0.8151720772241436
2020-03-31,1.1386667834442035,0.9409645662066457,0.7122889203799403,0.08899861065998689,0.8153732796265332
