Date,AI,Energy,Biotech,Space,VOO
2020-01-03,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,-0.005243504212288919,0.0,0.0,-0.0027579190335613735
2020-01-08,0.0,-0.023906735517739364,0.0,0.0,0.0
2020-01-09,0.0,-0.029889385850647487,0.0,0.0,0.0
2020-01-10,-0.011101811677519446,-0.007054003950194843,-0.003196641875478745,-0.0020161751622833624,-0.0028654337425670917
2020-01-13,0.0,0.0,0.0,-0.0020161751622833624,0.0
2020-01-14,-0.00620196666476458,-0.00588775686823495,0.0,0.0,-0.0013280896651205465
2020-01-15,-0.016748277597809502,-0.007017804089810564,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,-0.011852114694691052,0.0,0.0
2020-01-21,-0.003887142620802253,-0.01928942050361393,-0.01377594018055639,0.0,-0.002065190880125911
2020-01-22,0.0,-0.03367477300283228,-0.008495676830661436,0.0,-0.0018027888610729903
2020-01-23,0.0,-0.04300472159826296,-0.01814117658188641,-0.0010000228881834605,-0.0008193593889106454
2020-01-24,-0.012883322295134003,-0.06267095965673097,-0.03390101478345353,-0.0010000228881834605,-0.009932406429124851
2020-01-27,-0.05061064990210962,-0.08550926832260175,-0.03264758971086634,-0.0010000228881834605,-0.02566694764127242
2020-01-28,-0.033803537804882544,-0.07730655963979205,-0.012406065484575679,0.0,-0.01511151535238997
2020-01-29,-0.049517360881647265,-0.08236646858904606,0.0,-0.002988021223623072,-0.01609527516700182
2020-01-30,-0.06193378733106447,-0.0770759391788175,0.0,-0.002988021223623072,-0.013013840798063447
2020-01-31,-0.08872031720344165,-0.09664227895928434,-0.003768864834979846,-0.003984059960658204,-0.030715240954535594
2020-02-03,-0.07971491442530965,-0.08758139357127015,-0.009678545942742312,-0.002988021223623072,-0.023667494908597098
2020-02-04,-0.03861785717671962,-0.06186741540416507,0.0,-0.003984059960658204,-0.008621167132908392
2020-02-05,-0.023371200004928983,-0.05444971575169755,0.0,-0.003984059960658204,0.0
2020-02-06,-0.02770063423281821,-0.07700013886261903,-0.0003174194080930448,-0.003984059960658204,0.0
2020-02-07,-0.04098023275609697,-0.08815283965963538,-0.007870822601115712,-0.003984059960658204,-0.005083316321811693
2020-02-10,-0.014221791535065309,-0.0939803342995118,-0.013387731518979318,-0.002988021223623072,0.0
2020-02-11,0.0,-0.0682731022844284,-0.01208598717467435,-0.003984059960658204,0.0
2020-02-12,0.0,-0.05286563078240725,0.0,-0.003984059960658204,0.0
2020-02-13,-0.0036276124808168886,-0.06594162431181394,-0.005646395134570548,-0.002988021223623072,-0.0009676790642331179
2020-02-14,0.0,-0.06757671082293715,-0.007074643413818027,-0.003984059960658204,0.0
2020-02-18,-0.008167718802866819,-0.06394318444071478,0.0,-0.002988021223623072,-0.0027391280671472673
2020-02-19,0.0,-0.06595551199016336,0.0,-0.002988021223623072,0.0
2020-02-20,-0.0015940498863467045,-0.0771047725501357,0.0,-0.002988021223623072,-0.003923859472697466
2020-02-21,-0.057402824407499664,-0.08855458051998844,-0.0020001715798657616,-0.002988021223623072,-0.014248474870942496
2020-02-24,-0.1196355035687019,-0.11122506782800445,0.0,-0.002988021223623072,-0.04721487978852079
2020-02-25,-0.1625764067212918,-0.14327088093019513,-0.02071016639921719,-0.003984059960658204,-0.0758398554527917
2020-02-26,-0.16629207961312886,-0.16091597221990406,-0.05809477408172714,-0.002988021223623072,-0.07992415247379592
2020-02-27,-0.214518907001643,-0.17464654592007667,-0.09574529174539015,-0.005976137434728135,-0.12070651294336698
2020-02-28,-0.16409766944629967,-0.12688146524504806,-0.09672022943688585,-0.005976137434728135,-0.12601332247471853
2020-03-02,-0.13961491452641162,-0.123677960392376,-0.06887698512239993,-0.005976137434728135,-0.08700036668352817
2020-03-03,-0.1625972195063402,-0.13358098802532214,-0.0939756051302787,-0.005976137434728135,-0.11218333571378747
2020-03-04,-0.10491063833541514,-0.14142506078841388,-0.045225220806184296,-0.005976137434728135,-0.07538922581374274
2020-03-05,-0.13488804932536946,-0.16661459244897925,-0.05539323498235782,-0.006972081184281054,-0.1063619376015702
2020-03-06,-0.17031759847644734,-0.1859357305430961,-0.06479032574270194,-0.00667334555315624,-0.12134955960163119
2020-03-09,-0.2639389098993894,-0.32297535115604725,-0.11693344642273518,-0.008964158658351207,-0.1891484687991647
2020-03-10,-0.22840393945316462,-0.28896231920218873,-0.05464132022479462,-0.01294821861900941,-0.1475350202216138
2020-03-11,-0.3033340264144153,-0.3110930080114831,-0.08913263020596451,-0.01294821861900941,-0.18980140100333465
2020-03-12,-0.36685870428256706,-0.37440018457699786,-0.17270726462250807,-0.024402379132466123,-0.2681618545845924
2020-03-13,-0.27572755326497245,-0.35996050169033245,-0.10117950904906003,-0.023904359763948446,-0.1997862345231789
2020-03-16,-0.37578879932240017,-0.38396036251940113,-0.19441633224374566,-0.04382465956723891,-0.2937218248436845
2020-03-17,-0.28175187987695616,-0.3752886401635309,-0.14566094186231948,-0.04382465956723891,-0.24748113049158316
2020-03-18,-0.3410690502399649,-0.46827941109641646,-0.15219305916954362,-0.051792779488555096,-0.2886161834705464
2020-03-19,-0.31156518917991993,-0.42452408867984537,-0.15923195773497711,-0.052788818225590006,-0.28800219923685777
2020-03-20,-0.3183289938027757,-0.3828213099766772,-0.19541092484457723,-0.052788818225590006,-0.3190233664054365
2020-03-23,-0.297919148962265,-0.4324965000365735,-0.20250211904289395,-0.052788818225590006,-0.3399301075698652
2020-03-24,-0.22220411982174548,-0.3751837617342716,-0.17021345332458737,-0.04093628021231199,-0.2769833808307707
2020-03-25,-0.216142898484734,-0.3902853786350817,-0.16163928536433014,-0.034860595896369584,-0.2677094423061176
2020-03-26,-0.182766986471249,-0.3674243141322362,-0.11212673208369628,-0.03087653593571149,-0.22369823566233937
2020-03-27,-0.20692181275313193,-0.3651096233041289,-0.11629683757583209,-0.023904359763948224,-0.2475456836465415
2020-03-30,-0.17461686174214586,-0.35319669500143036,-0.07420931899839212,-0.023904359763948224,-0.22321341175794418
2020-03-31,-0.18454449698454245,-0.33226207906243466,-0.08395502697856638,-0.026892380987571407,-0.23474946569434696
2020-04-01,-0.249919214779869,-0.34240442599562737,-0.09604095718821637,0.0,-0.2692281430580026
2020-04-02,-0.24340769183658728,-0.3103732138584965,-0.07873816846436865,-0.014851541241502786,-0.2521343055668699
2020-04-03,-0.2757951964612638,-0.30598530820177505,-0.09079307835708239,-0.024752474312641715,-0.2631854275601243
2020-04-06,-0.20345177941477677,-0.2705504577079533,-0.06964193819126407,-0.02772283921485985,-0.2130670603022623
2020-04-07,-0.2010721888472955,-0.27054269506225836,-0.07215557777847281,-0.02772283921485985,-0.21264700563033168
2020-04-08,-0.17633458805982738,-0.24105654302781077,-0.05049759933972109,-0.022772325467692367,-0.18592367407819732
2020-04-09,-0.18365672575897796,-0.20815746869494023,-0.05562737526872408,-0.028316855541385855,-0.17383835112119395
2020-04-13,-0.18166999468462608,-0.21315000903764758,-0.048149832449692065,-0.024752474312641826,-0.1818520716106785
2020-04-14,-0.15618866145302324,-0.19810688754263084,-0.022421968236749912,-0.022772325467692367,-0.15687356592060164
2020-04-15,-0.17860725045653503,-0.19053601659848318,-0.030094436092509946,-0.022772325467692367,-0.1752277294856559
2020-04-16,-0.15347469606161068,-0.19189576340850623,-0.01940389857245972,-0.022772325467692367,-0.17105937831476425
2020-04-17,-0.15054559344312846,-0.15886762395024678,0.0,-0.025742595946714464,-0.14818130804246987
2020-04-20,-0.1526926919223951,-0.15680491232859817,0.0,-0.025742595946714464,-0.16353021163279213
2020-04-21,-0.17300332106025573,-0.17260539484740123,-0.027685830861131966,-0.025742595946714464,-0.18909028993063726
2020-04-22,-0.14442435666320708,-0.1731888214073074,0.0,-0.025742595946714464,-0.17125325385714574
2020-04-23,-0.13271287651004182,-0.15615929062493705,0.0,-0.01980205498867027,-0.17141471777360673
2020-04-24,-0.10549770124198532,-0.13427549463265798,0.0,-0.016831690086452133,-0.15939421806844445
2020-04-27,-0.07385639875088434,-0.13146424122810219,-0.0033693239977680145,-0.016831690086452133,-0.14724444999523556
2020-04-28,-0.07547416802635842,-0.12212215550544392,-0.02391391892246475,-0.016831690086452133,-0.15118651399782512
2020-04-29,-0.029191806007508703,-0.09682386540609345,-0.03842529368961789,-0.02178220383361973,-0.12931001698585298
2020-04-30,-0.0521465432646091,-0.09495641677320033,-0.032956346118180546,-0.02178220383361973,-0.1369037908421601
2020-05-01,-0.09371157145916276,-0.11330387352653482,-0.03805624340125113,-0.017821811720524994,-0.1604280408965576
2020-05-04,-0.09331227557969635,-0.08757612023999284,-0.026854339468984856,-0.017821811720524994,-0.15777844449692735
2020-05-05,-0.07255447688068584,-0.0963436735761749,-0.013742152065504887,-0.017821811720524994,-0.15002347682104178
2020-05-06,-0.05384214304676638,-0.10639211318969954,-0.01133269809135673,-0.018415922470247037,-0.15574272429223268
2020-05-07,-0.025990412704705146,-0.10018996946695402,-0.027326632852725408,-0.018415922470247037,-0.14575794479176496
2020-05-08,0.0,-0.08038580891320757,-0.019312502481082294,-0.01980205498867027,-0.1314751676167234
2020-05-11,0.0,-0.08389933784925019,0.0,-0.01980205498867027,-0.13134595326805332
2020-05-12,0.0,-0.09238351697058145,-0.008712933672766265,-0.01980205498867027,-0.1488275958633256
2020-05-13,0.0,-0.14326329797186266,-0.013128699086949358,-0.01980205498867027,-0.16391812477568446
2020-05-14,-0.0005417063863657479,-0.1483635883311769,-0.007865888268668075,-0.01980205498867027,-0.15383632647496126
2020-05-15,-0.009657490472291919,-0.1513868303363608,0.0,-0.01980205498867027,-0.15002347682104178
2020-05-18,0.0,-0.12997875701386086,0.0,-0.01980205498867027,-0.12404312777375992
2020-05-19,0.0,-0.13432089831622185,-0.007426107363456502,-0.01980205498867027,-0.13231543901871423
2020-05-20,0.0,-0.09554772614218399,-0.011441796821487937,-0.01980205498867027,-0.11816193021171928
2020-05-21,-0.036719526930155455,-0.11510361802109004,-0.02644173585061127,-0.01980205498867027,-0.1244953239747284
2020-05-22,-0.02826168225391401,-0.09993387836007306,-0.028485220437964753,-0.01980205498867027,-0.12252404888623925
2020-05-26,-0.0315219904212265,-0.08328016490973267,-0.03513273209738366,-0.01980205498867027,-0.11124690982156538
2020-05-27,-0.0438984697216136,-0.07725756674207629,-0.049181146217527005,-0.01980205498867027,-0.09828928197228626
2020-05-28,-0.03947463120570649,-0.0888445986198294,-0.040396123853128074,-0.01980205498867027,-0.10006624936338149
2020-05-29,-0.006641067934347045,-0.07430586919065096,-0.02076299182734931,-0.022772325467692367,-0.09602716656053645
2020-06-01,-0.013128850349130472,-0.07810901977408835,-0.012691579213653825,-0.016831690086452133,-0.09208477844168761
2020-06-02,-0.012690451212793108,-0.0451510899347034,0.0,-0.016831690086452133,-0.08462048903093311
2020-06-03,0.0,-0.03266673260553077,0.0,-0.016831690086452133,-0.07253538215143596
2020-06-04,-0.010602834760655377,-0.058256305249559936,-0.019012807953568744,-0.016831690086452133,-0.07489397616967586
2020-06-05,0.0,-0.03730534532930507,-0.019006736174665195,-0.017821811720524994,-0.05124061980536143
2020-06-08,-0.02486218395701245,-0.024108059562261475,-0.010358379554349484,-0.014356480424466689,-0.03973686945612609
2020-06-09,-0.0026958982859599523,-0.011422606858987105,-0.015696885932950155,-0.017821811720525216,-0.046555303201036624
2020-06-10,0.0,-0.047988136189376696,-0.016125576736337965,-0.017821811720525216,-0.05250045970489392
2020-06-11,-0.06982913125548329,-0.10078320604212732,-0.0649364938236856,-0.017821811720525216,-0.10711070017971136
2020-06-12,-0.05672761445156038,-0.08434723314549175,-0.0702264471682913,-0.017821811720525216,-0.09635052654847054
2020-06-15,-0.026680213426781396,-0.0802987731939877,-0.08357564633079184,-0.017821811720525216,-0.08811035683255408
2020-06-16,-0.021622258367576586,-0.06153273759909794,-0.01043974302165429,-0.01287129797335762,-0.07027305066217993
2020-06-17,-0.020861029137901332,-0.0684333612681286,-0.005734788244976308,-0.01287129797335762,-0.0745385286720801
2020-06-18,-0.002126872019774795,-0.05547345832974493,-0.011141116593805678,-0.01287129797335762,-0.07369895952198413
2020-06-19,-0.010027213968984539,-0.05160755337344902,-0.0030239521691373117,-0.007920784226190136,-0.07915945417957593
2020-06-22,0.0,-0.061169193869179295,0.0,-0.004950513747168039,-0.073052563662375
2020-06-23,-0.01071562547900995,-0.07408067264293727,0.0,-0.002178248710321351,-0.0688516928268097
2020-06-24,-0.03851026049614659,-0.10258741986844366,-0.005262045884218081,-0.0059406353812409,-0.0926666751657148
2020-06-25,-0.009793040466328118,-0.08281780787471371,0.0,-0.0059406353812409,-0.08306948469188069
2020-06-26,-0.044288397075752495,-0.10918200966298497,-0.017888793913027556,-0.0059406353812409,-0.10455790650283059
2020-06-29,-0.04124718163688823,-0.08535633395496689,-0.01740051002480536,0.0,-0.09149056529981048
2020-06-30,-0.03732318296948878,-0.05948855133831654,-0.008732900947049482,-0.006896521916752163,-0.07937499149194793
2020-07-01,-0.07350682879875281,-0.06605075334777566,-0.011389577757764946,0.0,-0.07307373925797656
2020-07-02,-0.06322707401333694,-0.060797657431386765,-0.012401137368591053,0.0,-0.06839630948262576
2020-07-06,-0.0303927551562736,-0.03139428559327395,-0.0085945900777753,-0.0019569919022601745,-0.0539419127483346
2020-07-07,-0.04675478811881284,-0.012735529422321368,-0.010842704683903692,-0.003913890490010452,-0.06375150741070168
2020-07-08,-0.04386206783962188,-0.012211135026793718,-0.007203069092071912,-0.011741671470031245,-0.05680040207702286
2020-07-09,-0.017191044978303704,-0.02819361276205412,-0.018693582415023058,-0.009784772882280968,-0.0616075863948089
2020-07-10,-0.016365112340563703,-0.029103587078285087,-0.025619854049658053,-0.011741671470031245,-0.05218790359226633
2020-07-13,-0.049106619410250074,-0.034954909646340404,-0.03561835162080895,-0.009784772882280968,-0.06076326353957795
2020-07-14,-0.026732316788544375,-0.01969910937602115,-0.020199545825621223,-0.009784772882280968,-0.048192846581296744
2020-07-15,-0.016067313165791686,0.0,-0.004083301217606028,-0.004892386441140428,-0.039747349215173644
2020-07-16,-0.03636920728917126,-0.011937234030914401,-0.02669125151258811,-0.003913890490010452,-0.04254079921451448
2020-07-17,-0.025665827390553564,0.0,-0.018655871350001685,-0.008806276931150991,-0.0400071824163033
2020-07-20,0.0,-0.014166287426532365,-0.023249957409215094,-0.0019569919022603965,-0.03201674427810486
2020-07-21,-0.023950749457742004,-6.008578308003276e-05,-0.03710209072226234,0.0,-0.030003226037165875
2020-07-22,-0.019924913395862776,0.0,-0.03733663761003703,0.0,-0.024481149290325077
2020-07-23,-0.02446755103033249,0.0,-0.04304564877316064,0.0,-0.036142312102781404
2020-07-24,-0.03677390053453389,-0.013947947086896395,-0.05814884830748468,-0.00970877472018672,-0.042378308929899244
2020-07-27,0.0,-0.00806123906363776,-0.045163334172479086,-0.008737878730220361,-0.035394900009052876
2020-07-28,-0.016022315654287134,-0.015621064427965292,-0.045095919023109166,0.0,-0.041371819906312335
2020-07-29,0.0,-0.06992452092122192,-0.049552049919611374,-0.00970877472018672,-0.02977558838445038
