,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
AI,76.97345210113058,0.9396849286168496,0.5080011845091337,1.8497691684023119,-0.614288888946405
Energy,10.669163323423856,0.45304015272779674,0.3428397568254544,1.3214341210679579,-0.4682794110964164
Biotech,7.929240966200899,0.39508879196652025,0.27217124403069787,1.4516184227087512,-0.24164821924463026
Space,15.060282281993612,0.5253638367662772,0.7397543856724708,0.7101868497727084,-0.773214429715038
VOO,1.6190226565900745,0.15768787844295074,0.20323696979475617,0.7758818614654396,-0.3399301075698652
